energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,sarima,2024-04,3,2024-07,127.2,126.1705,-1.0295,1.0295,-0.8094,0.8127,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 182.1866, ""n_failures"": 0}"
electricity,constant,2024-04,6,2024-10,126.5,127.7,1.2,1.2,0.9486,0.9441,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-04,6,2024-10,126.5,129.6013,3.1013,3.1013,2.4517,2.422,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-04,6,2024-10,126.5,123.7721,-2.7279,2.7279,-2.1564,2.1799,"{""selected_config"": ""Ad,A"", ""aic"": 106.3611, ""n_failures"": 0}"
electricity,sarima,2024-04,6,2024-10,126.5,131.1389,4.6389,4.6389,3.6671,3.6011,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 182.1866, ""n_failures"": 0}"
electricity,constant,2024-04,12,2025-04,124.5,127.7,3.2,3.2,2.5703,2.5377,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-04,12,2025-04,124.5,131.531,7.031,7.031,5.6474,5.4923,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-04,12,2025-04,124.5,125.9995,1.4995,1.4995,1.2044,1.1972,"{""selected_config"": ""Ad,A"", ""aic"": 106.3611, ""n_failures"": 0}"
electricity,sarima,2024-04,12,2025-04,124.5,142.6506,18.1506,18.1506,14.5788,13.5883,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 182.1866, ""n_failures"": 0}"
electricity,constant,2024-05,1,2024-06,127.7,127.6,-0.1,0.1,-0.0783,0.0783,"{""last_value"": 127.6}"
electricity,deterministic_trend,2024-05,1,2024-06,127.7,127.9147,0.2147,0.2147,0.1681,0.168,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.6}"
electricity,ets,2024-05,1,2024-06,127.7,126.8509,-0.8491,0.8491,-0.6649,0.6671,"{""selected_config"": ""Ad,A"", ""aic"": 106.544, ""n_failures"": 0}"
electricity,sarima,2024-05,1,2024-06,127.7,127.7445,0.0445,0.0445,0.0349,0.0349,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 185.9904, ""n_failures"": 0}"
